### DATA FORMAT ###
# Description: These are the spikes a retina has produced (see file name for exact retina label).
# Each row contains: Time stamp -- x-coordinate -- y-coordinate
dimension is 6x6
### DATA START ###
3 0 16.2
2 3 30.9
2 0 55.1
2 0 67.2
1 5 91.2
5 2 99.0
1 2 116.8
5 2 125.1
5 4 126.0
5 1 134.4
0 5 138.9
5 4 144.0
0 2 150.5
5 3 155.3
5 1 158.6
5 4 169.6
4 1 173.7
0 4 173.9
4 1 182.5
4 2 189.6
4 1 193.5
4 4 194.6
4 1 205.3
4 2 210.0
4 4 213.8
4 5 215.8
4 0 224.9
3 1 235.4
3 2 249.1
3 1 258.6
3 3 259.7
3 0 263.8
3 0 308.3
2 1 316.1
2 2 326.7
2 1 344.3
2 2 345.5
2 3 353.1
4 1 359.6
2 0 363.3
2 5 365.4
2 2 372.6
2 3 373.6
1 2 384.4
2 5 384.4
3 1 397.4
1 2 400.3
1 4 414.9
1 2 415.5
1 3 420.1
1 4 427.5
1 4 434.2
1 5 436.0
1 1 437.1
1 4 446.4
0 2 452.5
0 3 452.5
2 2 461.7
0 5 467.0
0 2 467.4
0 3 469.5
0 4 470.1
2 5 472.5
0 5 479.4
0 1 480.0
0 4 482.7
1 5 498.2
3 1 509.4
5 1 513.8
5 5 528.4
2 5 533.1
4 1 536.2
0 2 543.8
4 0 545.3
4 1 548.9
5 4 552.1
5 3 557.9
4 1 558.4
4 5 563.6
3 1 565.8
1 5 566.7
3 0 578.3
3 1 579.1
5 2 581.4
3 0 590.8
1 5 592.0
3 5 595.6
0 5 597.8
2 5 599.3
2 1 604.6
2 0 606.9
3 4 608.0
2 1 616.2
2 0 620.1
0 5 621.9
1 5 623.7
3 3 624.8
2 5 625.4
5 1 632.4
1 1 636.9
0 3 642.5
0 5 644.2
3 1 646.3
4 1 646.7
0 5 655.2
1 5 655.5
4 0 657.1
1 2 671.3
0 1 673.2
3 4 677.9
2 1 680.6
3 1 683.2
0 5 688.0
3 2 692.1
0 2 692.6
5 1 696.7
5 4 701.0
2 2 705.3
5 4 707.0
4 1 709.9
5 4 713.1
4 0 713.2
5 4 718.7
1 2 719.7
2 1 725.7
5 3 726.1
0 5 726.4
1 1 727.4
0 1 727.7
4 4 729.3
3 1 734.4
0 2 735.1
4 4 737.1
5 2 738.0
5 1 740.3
4 4 742.9
5 1 748.7
0 4 755.9
3 4 758.5
3 0 759.4
2 0 761.5
0 3 763.3
3 4 766.4
4 0 766.7
4 1 768.4
3 3 773.3
4 0 775.0
1 1 775.0
1 0 776.0
4 1 778.1
3 2 781.9
0 1 782.8
2 5 786.8
2 4 787.1
4 1 787.3
5 3 788.7
3 0 789.4
3 0 793.6
2 4 793.8
3 1 795.4
2 3 797.6
3 0 799.8
3 4 801.0
0 0 802.0
2 2 805.8
3 0 805.8
3 5 807.0
1 4 808.1
1 4 812.9
1 5 815.0
2 2 816.4
1 4 817.6
2 0 819.7
2 1 824.6
2 0 825.1
0 3 826.8
5 1 827.1
1 2 830.4
3 3 830.5
2 0 833.2
2 5 833.4
1 3 833.6
0 5 835.6
0 4 835.9
1 2 837.1
1 5 840.3
4 1 840.8
1 1 841.4
1 2 841.5
0 4 845.6
0 3 851.5
1 0 853.4
4 0 854.0
0 2 855.5
2 2 857.1
0 2 861.6
0 1 866.8
3 1 867.8
1 3 869.0
0 5 873.4
1 2 876.9
3 0 886.8
0 3 888.5
0 2 895.6
2 0 898.7
1 0 919.5
1 3 956.0
0 3 971.0
5 2 1013.6
5 1 1018.8
5 2 1020.7
5 1 1026.7
4 1 1033.3
4 2 1034.0
3 0 1037.2
4 1 1041.1
4 2 1041.6
4 1 1046.1
3 2 1052.9
3 1 1055.6
3 3 1058.5
2 0 1058.9
3 2 1061.6
4 0 1064.5
3 1 1069.0
2 2 1073.3
2 1 1074.6
2 3 1078.8
3 0 1080.7
2 1 1081.5
3 0 1085.9
5 1 1090.6
1 1 1091.0
1 2 1093.9
2 0 1098.1
1 1 1099.9
2 0 1102.6
5 2 1104.1
4 1 1105.8
4 0 1109.2
0 1 1111.5
5 3 1111.5
3 1 1111.7
1 0 1113.4
0 1 1119.9
5 2 1120.3
3 3 1124.4
4 2 1125.1
0 0 1131.6
2 1 1131.9
5 3 1135.6
5 2 1135.7
4 3 1138.1
3 0 1138.7
5 2 1140.4
5 1 1140.5
5 5 1140.9
5 3 1142.5
5 1 1144.8
5 2 1148.4
3 2 1148.6
1 1 1150.3
1 4 1152.2
5 1 1153.2
4 0 1155.2
3 1 1156.5
2 0 1156.6
5 5 1159.9
0 1 1161.7
1 4 1161.9
4 0 1162.2
4 1 1163.3
4 3 1163.8
4 1 1166.2
5 4 1167.2
4 2 1167.4
3 0 1167.4
4 0 1168.4
4 1 1169.9
5 1 1170.1
2 2 1172.3
1 0 1172.6
3 0 1178.5
2 1 1179.6
3 1 1182.3
3 0 1184.6
4 4 1185.4
0 0 1186.9
3 3 1187.8
3 0 1188.3
3 1 1188.4
0 2 1190.3
3 2 1191.0
3 0 1191.8
1 2 1193.9
4 0 1194.3
3 0 1195.4
3 5 1196.3
4 1 1196.9
2 1 1199.1
5 5 1199.3
1 1 1200.1
2 0 1202.5
2 1 1203.3
3 3 1203.6
2 2 1204.3
2 0 1205.5
2 0 1208.4
2 1 1211.1
2 0 1211.4
2 2 1213.3
3 5 1213.9
2 0 1216.6
4 4 1217.3
1 1 1223.2
1 2 1226.1
4 5 1228.2
2 2 1228.2
