### DATA FORMAT ###
# Description: These are the spikes a retina has produced (see file name for exact retina label).
# Each row contains: Time stamp -- x-coordinate -- y-coordinate
dimension is 6x6
### DATA START ###
0 5 0.1
0 1 0.3
0 2 0.7
0 4 0.7
0 3 0.9
0 0 1.5
0 5 1.5
3 2 1.6
0 1 1.7
0 4 1.8
0 2 2.1
0 3 2.2
1 0 2.8
0 4 2.9
0 1 3.1
0 5 3.1
0 0 3.4
0 3 3.6
0 2 4.0
0 4 4.3
1 1 4.5
0 5 4.6
0 1 4.7
0 3 5.2
1 0 5.5
0 4 5.6
5 5 5.8
1 1 6.1
0 2 6.3
5 4 6.5
0 5 6.7
1 2 6.8
4 5 6.8
0 0 7.0
1 3 7.3
1 1 7.4
0 4 7.4
0 3 7.5
1 0 7.8
1 4 8.2
1 3 8.3
1 1 8.5
1 2 8.8
0 1 9.5
1 1 9.6
1 0 9.8
1 5 9.9
5 5 9.9
1 3 10.1
1 4 10.1
0 5 10.1
1 2 10.3
1 1 10.7
0 4 11.0
1 4 11.7
1 0 11.8
1 1 11.8
1 3 11.8
1 2 11.9
1 5 11.9
1 1 13.0
5 5 13.3
1 3 13.6
1 2 13.6
1 4 13.6
1 5 13.6
1 0 13.8
1 1 14.2
1 5 15.4
1 1 15.4
1 4 15.4
1 3 15.6
2 0 15.8
1 2 16.0
1 0 16.7
2 3 16.8
1 3 17.2
2 1 17.3
2 2 17.6
1 5 17.7
1 1 17.9
2 3 18.1
2 4 18.3
1 4 18.6
2 0 18.7
2 1 18.9
2 2 18.9
2 3 19.1
1 3 19.2
5 5 19.4
2 3 20.1
2 2 20.2
2 1 20.3
2 4 20.4
1 5 20.6
2 0 20.9
1 2 21.0
2 3 21.1
2 2 21.2
2 1 21.8
2 4 22.1
2 3 22.2
2 2 22.4
2 0 22.9
2 1 23.2
2 3 23.2
2 5 23.4
2 4 23.5
2 2 23.6
2 4 24.6
2 1 24.8
0 0 24.9
0 2 24.9
2 3 25.0
2 5 25.1
2 2 25.2
0 5 25.3
2 0 25.3
0 4 25.5
3 0 25.6
3 3 26.0
2 4 26.0
2 3 26.2
3 1 26.3
3 2 26.6
3 0 26.7
0 1 26.8
2 2 26.8
2 5 26.9
0 2 27.1
0 3 27.1
2 1 27.2
2 3 27.2
4 2 27.3
0 0 27.4
3 3 27.5
3 0 27.7
3 1 27.8
0 4 27.8
0 5 27.8
2 4 28.0
2 5 28.1
3 2 28.4
2 3 28.6
3 3 28.7
3 4 29.1
0 2 29.2
3 1 29.2
3 0 29.3
0 3 29.4
2 2 29.4
0 0 29.6
3 3 29.7
0 5 29.8
3 2 29.8
2 5 30.0
0 4 30.0
3 4 30.3
3 1 30.6
3 0 30.8
3 3 30.9
3 2 30.9
2 4 31.3
2 5 31.6
3 4 31.6
0 5 31.7
4 0 31.8
0 0 31.8
0 3 31.8
3 1 31.9
3 3 31.9
3 2 32.2
3 0 32.3
0 2 32.3
3 4 32.9
0 4 33.0
0 1 33.1
3 1 33.1
4 2 33.2
2 5 33.4
3 2 33.6
3 3 33.7
0 3 33.7
3 4 33.9
1 0 34.0
2 3 34.0
3 0 34.2
3 1 34.3
0 5 34.9
1 2 34.9
